,id,Shap_to_Human_0,Shap_to_Human_1,Occlusion_to_Human_0,Occlusion_to_Human_1
0,940,0.040340405457506036,0.04902882912926477,0.09083508153541818,0.0615215780134669
1,3073,0.07203305724357066,0.03192209178313418,0.09348329267339668,0.12197148637882547
2,6545,0.10890154966336815,0.051726201083481284,0.13807437070271236,0.06495098403119684
3,6912,0.16827381547562592,0.04145079493873779,0.19127876908905433,0.09664244654090186
4,11360,0.015494781173629799,0.05615985107594445,0.060875913688316,0.07040305298163144
5,12015,0.03134895430001748,0.05127233402943068,0.05063213674508801,0.09312359704386847
6,15783,0.04053583120866298,0.026259205132776388,0.0902223654714077,0.04680440155330317
7,23413,0.05254641815491334,Nan,0.06338370787558384,Nan
8,24283,0.025821936983774326,0.02398558633298801,0.07774625206063565,0.05627334233332286
9,30364,0.04991135282686869,0.059918790574746736,0.10768474097452507,0.08638886049321652
10,30625,Nan,0.0564509994642724,Nan,0.06651187900833519
11,32357,0.027865324015053136,0.03135581387344776,0.06847288388280649,0.06092773569555081
12,33433,0.047151503141541415,0.030143564873917138,0.07631348540166014,0.04630979266939319
13,34789,0.027404570623008884,Nan,0.07379188799336042,Nan
14,41850,0.04246476199597736,0.05913279232818099,0.09102524300617026,0.07397818267860458
